name,team,opposition,overs,maidens,runs,wickets,economy,match_id,year
Jofra Archer,RR,MI,4.0,0,34,1,8.50,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Kartik Tyagi,RR,MI,4.0,0,36,1,9.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Tom Curran,RR,MI,3.0,0,33,0,11.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Rahul Tewatia,RR,MI,2.0,0,13,0,6.50,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Trent Boult,MI,RR,4.0,0,26,2,6.50,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Jasprit Bumrah,MI,RR,4.0,0,20,4,5.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
James Pattinson,MI,RR,3.1,0,19,2,6.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Rahul Chahar,MI,RR,3.0,0,24,1,8.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Krunal Pandya,MI,RR,2.0,0,22,0,11.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Kieron Pollard,MI,RR,2.0,0,24,1,12.00,mumbai-indians-vs-rajasthan-royals-20th-match-1216511,2020
Deepak Chahar,CSK,KKR,4.0,0,47,0,11.75,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Sam Curran,CSK,KKR,4.0,0,26,2,6.50,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Shardul Thakur,CSK,KKR,4.0,0,28,2,7.00,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Karn Sharma,CSK,KKR,4.0,0,25,2,6.25,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Dwayne Bravo,CSK,KKR,4.0,0,37,3,9.25,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Pat Cummins,KKR,CSK,4.0,0,25,0,6.25,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Shivam Mavi,KKR,CSK,3.0,0,32,1,10.66,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Varun Chakravarthy,KKR,CSK,4.0,0,28,1,7.00,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Kamlesh Nagarkoti,KKR,CSK,3.0,0,21,1,7.00,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Sunil Narine,KKR,CSK,4.0,0,31,1,7.75,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Andre Russell,KKR,CSK,2.0,0,18,1,9.00,kolkata-knight-riders-vs-chennai-super-kings-21st-match-1216501,2020
Sheldon Cottrell,PBKS,SRH,3.0,0,33,0,11.00,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Mujeeb Ur Rahman,PBKS,SRH,4.0,0,39,0,9.75,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Mohammed Shami,PBKS,SRH,4.0,0,40,1,10.00,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Glenn Maxwell,PBKS,SRH,2.0,0,26,0,13.00,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Ravi Bishnoi,PBKS,SRH,3.0,0,29,3,9.66,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Arshdeep Singh,PBKS,SRH,4.0,0,33,2,8.25,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Sandeep Sharma,SRH,PBKS,4.0,0,27,0,6.75,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Khaleel Ahmed,SRH,PBKS,3.0,0,24,2,8.00,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
T Natarajan,SRH,PBKS,3.5,0,24,2,6.26,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Abhishek Sharma,SRH,PBKS,1.0,0,15,1,15.00,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Rashid Khan,SRH,PBKS,4.0,1,12,3,3.00,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Abdul Samad,SRH,PBKS,1.0,0,28,0,28.00,sunrisers-hyderabad-vs-kings-xi-punjab-22nd-match-1216542,2020
Varun Aaron,RR,DC,2.0,0,25,0,12.50,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Jofra Archer,RR,DC,4.0,0,24,3,6.00,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Kartik Tyagi,RR,DC,4.0,0,35,1,8.75,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Andrew Tye,RR,DC,4.0,0,50,1,12.50,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Shreyas Gopal,RR,DC,2.0,0,23,0,11.50,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Rahul Tewatia,RR,DC,4.0,0,20,1,5.00,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
Kagiso Rabada,DC,RR,3.4,0,35,3,9.54,rajasthan-royals-vs-delhi-capitals-23rd-match-1216500,2020
